Wine Name,Price,Image,Winery,Grapes,Region,Wine Style,Product URL,volume,volume_unit,type,ageing,seasons,food_type,course,soil_type,vintage,tasting_notes,Food 1,Grape and Food Type 1,Tasting Notes 1,Food & Wine Acidity 1,Regional Pairing 1,Sweetness & Spiciness 1,Food 2,Grape and Food Type 2,Tasting Notes 2,Food & Wine Acidity 2,Regional Pairing 2,Sweetness & Spiciness 2,Food 3,Grape and Food Type 3,Tasting Notes 3,Food & Wine Acidity 3,Regional Pairing 3,Sweetness & Spiciness 3
2021-domaine-francois-mikulski-pommard-cote-de-beaune,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"spring, summer","beef, lamb",main course,"limestone, clay",2020,"dark fruit, spices, smooth tannins",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"Rich, full-bodied reds complement bold cuts of meat. Tannins in the wine match the charred flavors from grilling.",Garlic and herbs in the mashed potatoes complement the earthy notes in the wine.,Moderate acidity balances the richness of the dish.,Classic pairing for red wines from Burgundy.,Not applicable; leans savory and bold.,Braised Lamb Shanks with Carrots and Parsnips,"Rich, full-bodied reds complement the slow-cooked lamb. Tannins in the wine match the rich flavors from the braising liquid.",Dark fruit and spices in the wine enhance the lamb's meatiness.,Moderate acidity balances the richness of the dish.,Classic pairing for red wines from Rhone Valley.,Minimal sweetness keeps it savory and bold.,Pan-Seared Halibut with Lemon and Capers,"Crisp, citrusy whites complement delicate seafood. Acidity in the wine cuts through the richness of the fish.",Bright acidity and citrus notes in the wine match the lemon and herbs in the dish.,High acidity balances the richness of the fish.,Classic pairing for white wines from Chablis.,Minimal sweetness keeps it fresh and savory.
2015-domaine-ravaut-ladoix-rouge-cote-de-beaune,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"spring, summer","beef, lamb",main course,"limestone, clay",2015,"dark fruit, spice, earthy",Grilled Steak with Roasted Garlic Mashed Potatoes,Rich reds complement bold flavors of grilled meats.,"Earthy, spicy flavors in the wine match the savory umami of roasted garlic.",High acidity cuts through richness of mashed potatoes.,Traditional pairings from Burgundy's Cote de Beaune region often feature robust reds with hearty meat dishes.,Moderate sweetness offsets bold spices in the roasted garlic mashed potatoes.,Pan-Seared Salmon with Lemon Butter Sauce,Oceanic whites complement delicate seafood.,Citrus and floral notes in the wine enhance the bright flavors of lemon butter sauce.,High acidity cuts through richness of pan-seared salmon.,"Certain white wines from the Atlantic coast pair well with seafood, such as oysters and lobster.",Minimal sweetness maintains a balance between savory and spicy flavors in lemon butter sauce.,Roasted Chicken with Herbs and Lemon,Crisp white wines complement aromatic poultry.,Lemon zest in the wine complements the herbal notes in roasted chicken.,Moderate acidity balances richness of roasted chicken skin and herbs.,Southern French wines match Mediterranean-inspired dishes with herbs and citrus.,
2020-domaine-georges-lignier-fils-gevrey-chambertin-cote-de-nuits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-domaine-bernard-thierry-glantenay-les-brouillards-volnay-premier-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"spring, summer","beef, lamb, or game",main course,limestone and clay,2020,"dark fruit, spice, and leather notes complement rich meats.",Grilled Lamb Chops with Rosemary and Garlic,"Rich, savory wines complement bold flavors.",Earthy notes in the wine balance herbs and spices in the dish.,"and tannins balance the bold flavors, keeping it fresh and balanced.",Traditional pairings for red Burgundy with grilled meats.,,Pan-Seared Duck Breast with Cherry Compote,"Fruity, spicy wines complement savory meats.","s balance each other, creating a harmonious flavor profile.",High acidity cuts through the fatty richness of the dish.,Traditional pairings for red Burgundy with roasted or grilled meats.,,Roasted Beef Wellington with Mushroom Duxelles,"Rich, savory wines complement bold flavors.","s balance each other, creating a harmonious flavor profile.",Moderate acidity balances the fattiness of the dish.,Traditional pairings for red Burgundy with roasted meats.,
2021-domaine-bernard-thierry-glantenay-les-brouillards-volnay-premier-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"spring, summer","red meat (e.g., beef, lamb) and rich seafood (e.g., lobster, scallops)",Main Course,Limestone and clay,2021,"Dark fruit, spice, and mineral notes complement rich, savory dishes.",Grilled Ribeye with Roasted Garlic Mashed Potatoes,"Full-bodied red wines complement bold, rich meats.","The wine’s dark fruit and spice notes complement the beef’s charred, savory flavors.",Moderate acidity cuts through the richness of the dish.,Traditional pairings in Burgundy often feature red wine with roasted meats.,Minimal sweetness and moderate spice balance the dish.,Pan-Seared Scallops with Lemon Butter and microgreens,Crisp acidity in white wines complements delicate seafood flavors.,The wine’s citrus and floral notes enhance the sweetness of the scallops.,High acidity balances the richness of the butter and microgreens.,White wines from Burgundy often pair well with seafood dishes in French cuisine.,Minimal sweetness and no spice in this dish.,Braised Beef Short Ribs with Red Wine Jus,"Full-bodied red wines complement rich, savory meats.",The wine’s dark fruit and spice notes complement the beef’s braised flavors.,Moderate acidity cuts through the richness of the jus.,Traditional pairings in Burgundy often feature red wine with roasted meats.,Minimal sweetness and moderate spice balance the dish.
2020-domaine-bernard-thierry-glantenay-les-santenots-volnay-premier-cru,,,,,,,,750 ml,,Red,Aged in oak barrels for 12 months,Best served during winter and spring,,Main course,,2020,,Grilled Lamb Chops with Rosemary and Garlic,"Rich, full-bodied red wines complement bold meats.",The wine's dark fruit and spice flavors match the lamb's grilled flavor.,Balances the richness of the meat.,Traditional pairing in Mediterranean cuisine.,Moderate sweetness and spice complement each other.,Braised Beef Short Ribs with Mushrooms,"Full-bodied red wines complement rich, flavorful meats.",The wine's dark fruit and spice flavors match the beef's braised flavor.,Balances the richness of the meat.,Traditional pairing in European cuisine.,Moderate sweetness and spice complement each other.,Roasted Vegetable Tart with Arugula,Off-dry red wines complement earthy flavors.,The wine's fruit and spice flavors match the roasted vegetables' earthy sweetness.,Cuts through any rich or oily flavors.,Southern French wines match Mediterranean flavors.,Minimal sweetness keeps it fresh and savory.
2021-domaine-bernard-thierry-glantenay-les-santenots-volnay-premier-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"spring, summer","beef, lamb, or game",main course,limestone and clay,2021,"dark fruit, spice, and tobacco notes complement rich meats.",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,Full-bodied reds complement bold meats.,"Rich, spicy flavors in the wine match the beef's savory profile.",Moderate acidity cuts through the richness of the dish.,Traditional pairings from Burgundy feature bold red wines with hearty meats.,Moderate sweetness balances spicy seasonings in the steak.,Braised Lamb Shanks with Rosemary and Lemon,"Rich, savory red wines complement lamb's gamey flavors.","Earthy, spicy notes in the wine match the lamb's herbaceous profile.",Low acidity won't overpower the richness of the dish.,"Classically, southern French reds complement game meats like lamb.",Minimal sweetness and spice complement the herbal flavors in the dish.,Roasted Chestnut Mushroom Tart with Goat Cheese and Caramelized Onions,"Off-dry reds complement rich, savory flavors.","Earthy, fruity notes in the wine match the mushroom's savory profile.",Low acidity won't overpower the richness of the dish.,Southern French wines complement vegetarian or dairy-based dishes.,Minimal sweetness and spice complement the earthy flavors in the dish.
2020-domaine-bernard-thierry-glantenay-volnay-vieilles-vignes-cote-de-beaune,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"spring, summer","beef, lamb, or wild game",main course,limestone and clay,2020,"dark fruit, spice, and mineral flavors with a rich, full-bodied texture and good aging potential.",Grilled Ribeye Steak,"Full-bodied red wines match rich, savory meats.",Earthy and spicy notes complement the bold flavors of grilled meat.,High acidity cuts through any fattiness.,Traditional pairings for red Burgundy include beef or lamb dishes.,Moderate sweetness balances the bold flavors of grilled meat.,Braised Lamb Shanks,Wines with moderate tannins and acidity complement slow-cooked meats.,Dark fruit and spice notes blend harmoniously with the rich flavors of lamb.,Moderate acidity balances the richness of braised meat.,Southern French wines complement herb-crusted meats.,Minimal sweetness keeps it savory and bold.,Roasted Chestnut Mushroom Tart,"Soft, fruity whites complement earthy flavors.",s complement vegetarian dishes.,enhances the experience.,,
2021-domaine-bernard-thierry-glantenay-volnay-vieilles-vignes-cote-de-beaune,,,,,,,,750 ml,milliliters,red,aged in oak barrels for at least 12 months,"suitable for drinking year-round, but best between 2021 and 2035","beef, lamb, or game",main course,limestone and clay,2021,"complex flavors of dark fruit, spice, and leather, with a rich and full-bodied texture.",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"The bold tannins and rich flavors of the wine complement the bold flavors of the steak, while the acidity cuts through the fatty richness.",The wine's dark fruit and spice notes enhance the savory umami flavors of the steak.,High acidity balances the richness of the dish.,Classic pairing for red wines from Burgundy.,Not applicable; leans savory and bold.,Braised Lamb Shanks with Rosemary and Garlic,"The wine's fruit and spice notes complement the rich, savory flavors of the lamb.","The wine's fruit notes enhance the herbal and earthy flavors of the rosemary, while its acidity cuts through the richness of the dish.",Moderately high acidity balances the bold flavors of the lamb.,Traditional pairing for red wines from Burgundy with hearty meat dishes.,Not applicable; leans savory and rich.,Roasted Chestnut Mushroom and Goat Cheese Tartine,"The wine's fruit and mineral notes complement the earthy flavors of the mushrooms, while its acidity cuts through the richness of the goat cheese.","The wine's crisp acidity enhances the texture and flavor of the dish, while its fruit notes match the sweetness of the goat cheese.",Moderately high acidity balances the richness of the goat cheese.,Classic pairing for red wines from Burgundy with earthy or savory dishes.,Not applicable; leans savory and fresh.
2017-domaine-hubert-lamy-chassagne-montrachet-la-goujonne-vieilles-vignes-rouge-cote-de-beaune,,,,,,,,750 ml,mL,red,aged in oak barrels for at least 12 months,"spring, summer",Beef or lamb,Main Course,Limestone and clay,2017,"Complex flavors of dark fruit, spices, and minerals. Rich and full-bodied with a long finish.",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,Rich and full-bodied red wine complements bold meats.,"Garlicky flavors in the potatoes match the savory, spicy notes in the wine.",High acidity cuts through richness of both the steak and mashed potatoes.,Traditional pairings in France often feature red Burgundy with hearty meats.,"Moderate sweetness balances bold flavors, while spices in the wine complement herbs in the dish.",Braised Lamb Shanks with Rosemary and Lemon,Herbal notes in the wine complement rosemary flavors. Crisp acidity balances richness of the lamb.,Lemon and herbs in the dish match the citrus and floral notes in the wine.,Moderate acidity cuts through oily glaze on the lamb shanks without overpowering flavors.,Mediterranean cuisine often features red Burgundy with hearty meats and vegetables.,"Minimal sweetness keeps it savory, while spices in the wine complement herbs in the dish.",Roasted Vegetable Tart with Goat Cheese and Caramelized Onions,"Off-dry red wine complements sweet, savory flavors of roasted vegetables.",Sweet onion notes in the tart match fruit and spice flavors in the wine.,Moderate acidity balances richness of the goat cheese without overpowering flavors.,"Southern French cuisine features red Burgundy with vegetables, poultry, or dairy products.","Minimal sweetness keeps it savory, while spices in the wine complement herbs in the tart."
2020-domaine-hubert-lamy-chassagne-montrachet-la-goujonne-vieilles-vignes-rouge-cote-de-beaune,,,,,,,,750 ml,ml,red,aged in oak barrels,"spring, summer","beef, lamb",main course,limestone,2020,"dark fruit, spice, earthy",Grilled Ribeye with Roasted Garlic Mashed Potatoes,Full-bodied red wines complement rich meats.,Earthy and spicy flavors complement the boldness of the meat.,Moderate acidity cuts through the richness of the dish.,Traditional pairings in red wine-loving cultures.,Moderate sweetness balances the bold flavors.,Pan-Seared Duck Breast with Cherry Compote,Rich and full-bodied red wines complement the richness of the duck.,Dark fruit flavors match the savory flavors of the duck.,Moderate acidity balances the richness of the dish.,Traditional pairings in red wine-loving cultures.,Minimal sweetness keeps it savory and bold.,Braised Beef Short Ribs with Caramelized Onions,Full-bodied red wines complement the richness of the short ribs.,Dark fruit flavors match the boldness of the meat.,Moderate acidity balances the richness of the dish.,Traditional pairings in red wine-loving cultures.,Minimal sweetness keeps it savory and bold.
2019-domaine-hubert-lamy-chassagne-montrachet-la-goujonne-vieilles-vignes-rouge-cote-de-beaune,,,,,,,,750 ml,ml,red,aged in oak barrels,"spring, summer","beef, lamb",main course,limestone,2019,"dark fruit, spice, tobacco",Grilled Ribeye with Roasted Garlic Mashed Potatoes,Rich and full-bodied reds match the bold flavors of grilled meats.,"The wine's dark fruit, spice, and tobacco notes complement the savory, umami flavors of roasted garlic mashed potatoes.",Moderate acidity balances the richness of the dish.,"Traditional pairings in the Côte de Beaune often feature bold, full-bodied red wines with grilled meats.",Not applicable; leans savory and rich.,Braised Lamb Shanks with Rosemary and Garlic,"Full-bodied reds complement the rich, savory flavors of braised meats.","The wine's dark fruit, spice, and tobacco notes match the herby, earthy flavors of rosemary and garlic in the dish.",Moderate acidity balances the richness of the dish.,"Traditional pairings in the Côte de Beaune often feature bold, full-bodied red wines with braised meats.",Not applicable; leans savory and rich.,Roasted Veal Chop with Fig Compote,"Off-dry red wines complement the rich, savory flavors of roasted meats.","The wine's dark fruit, spice, and tobacco notes match the sweet, fruity compote.",Moderate acidity balances the richness of the dish.,"Off-dry red wines are a common pairing in the Côte de Beaune for roasted meats and sweet, fruity compotes.",
2020-domaine-hubert-lamy-derriere-chez-edouard-rouge-vieilles-vignes-saint-aubin-premier-cru,,,,,,,,750 ml,ml,red,aged in oak barrels,"spring, summer","beef, lamb",main course,limestone,2020,"dark fruit, spices, tobacco",Grilled Lamb Chops,"Rich, full-bodied reds complement bold lamb flavors.",Spices and dark fruit in the wine match the grilled lamb’s herby char.,Moderate acidity cuts through the richness of the dish.,Mediterranean or Middle Eastern cuisine favors bold reds.,Minimal sweetness and moderate spice complement lamb’s herbaceous flavor.,Beef Bourguignon,Full-bodied reds complement beef’s rich flavors.,"Earthy, spicy notes in the wine match the beef’s rich, savory flavors.",Moderate acidity balances beef’s richness.,Traditional pairing with red Burgundy and hearty French dishes.,Minimal sweetness and moderate spice complement beef’s bold flavors.,Roasted Vegetable Tart,Off-dry reds balance the sweetness of roasted vegetables.,Fruity and floral notes in the wine complement the earthy flavors of roasted vegetables.,Moderate acidity cuts through any richness from the dish.,Italian or Mediterranean cuisine favors fruit-forward reds.,
2016-domaine-hubert-lamy-saint-aubin-la-princee-cote-de-beaune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-domaine-hubert-lamy-saint-aubin-la-princee-cote-de-beaune,,,,,,,,750 ml,,White wine,Aged in stainless steel,"Spring, summer",,Starter or main course,,2019,,Grilled Chicken with Herbs,Herby whites complement chicken’s natural flavors.,White wine acidity cuts through rich herb marinade.,Balances the herbal oiliness.,Mediterranean-inspired dishes.,"Minimal sweetness keeps it fresh, savory.",Pan-Seared Fish with Lemon,Crisp white wines match delicate fish flavors.,Lemon and floral notes enhance the seafood’s natural sweetness.,"Cuts through rich sauces, balancing the dish.",Coastal cuisine featuring fresh seafood.,Minimal sweetness keeps it refreshingly light.,Goat Cheese Salad,"Soft, creamy cheeses complement white wines’ acidity.",Floral and stone fruit notes pair with rich goat cheese.,Balances the dairy richness.,Classic French pairings feature soft-ripened cheeses.,Not applicable; leans savory and creamy.
2019-domaine-jacques-cacheux-vosne-romanee-aux-reas-cote-de-nuits-750,,,,,,,,750,ml,red,aged in oak barrels for 12 months,"spring, summer","beef, lamb",main course,limestone,2019,"dark fruit, spice, tobacco",Grilled Ribeye Steak with Rosemary and Garlic,"Full-bodied reds complement rich, savory meats.",Herbal and spice notes in the wine match the herbs and garlic in the dish.,High acidity balances the fatty richness of the steak.,Traditional pairings for Burgundy reds are classic beef dishes.,Moderate sweetness and spice complement each other well.,Braised Short Ribs with Red Wine Jus,"Rich, full-bodied reds complement bold, savory meats.",Dark fruit and spice notes in the wine match the richness of the dish.,High acidity balances the richness of the dish.,Traditional pairings for Burgundy reds are classic beef dishes.,Moderate sweetness and spice complement each other well.,Roasted Vegetable Tart with Goat Cheese and Honey,Off-dry reds complement the sweetness of goat cheese and balance the richness of the tart.,Fruity and floral notes in the wine match the sweetness of the honey and balance the richness of the cheese.,Moderate acidity complements the sweetness of the dish without overpowering it.,Off-dry reds are a versatile pairing option for many desserts and side dishes.,
2021-jerome-chezeaux-clos-de-vougeot-grand-cru-cote-de-nuits,,,,,,,,750 ml,ml,red,aged in oak barrels for at least 12 months,"spring, summer","beef, lamb, or game meat",main course,limestone and clay,2021,"dark fruit, spice, leather, and tobacco notes complement rich meats.",Grilled Ribeye Steak,Rich and bold red wines match the intensity of grilled meats.,"The wine's dark fruit, spice, leather, and tobacco notes complement the charred, savory flavors of the steak.",Moderate acidity cuts through the fattiness of the steak.,Traditional pairings in France often match bold red wines with grilled meats.,Not applicable; lean savory and spicy flavors.,Roasted Veal Chops,Off-dry to full-bodied red wines complement the richness of roasted meats.,"The wine's dark fruit, spice, and leather notes enhance the chops' herbal flavors.",Moderate acidity balances the fattiness of the veal.,"Italian wines often pair well with roasted meats, especially when the meat is gamey or has a strong flavor profile.",Minimal sweetness keeps it savory and fresh.,Braised Beef Short Ribs,Full-bodied red wines complement the richness of braised meats.,"The wine's dark fruit, spice, and leather notes enhance the beef's umami flavors.",High acidity balances the richness of the short ribs.,Classical pairings in Europe often match bold red wines with slow-cooked meats.,
2020-jerome-chezeaux-vosne-romanee-cote-de-nuits,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"spring, summer",beef or lamb,main course,limestone and clay,2020,"dark fruit, spice, and leather notes complement rich red meats.",Grilled Steak with Rosemary,Full-bodied reds match robust meats.,Herbal and spicy notes in wine complement herbs in steak rub.,Moderate acidity balances meat fattiness.,Traditional pairings in Mediterranean cuisine.,Minimal sweetness keeps it savory and bold.,Braised Lamb Shanks with Roasted Vegetables,"Rich, full-bodied reds complement hearty meat dishes.",Earthy and spicy notes in wine match the depth of lamb flavors.,Moderate acidity balances meat richness.,Traditional pairings in Mediterranean cuisine.,Minimal sweetness keeps it savory and bold.,Roasted Chestnuts with Wild Mushrooms,Crisp acidity in white wines complements earthy mushroom flavors.,Fruity and floral notes in wine complement forest floor aromas.,"High acidity cuts through rich, savory sauces.",Italian cuisine favors crisp white wines with bold flavors.,Minimal sweetness keeps it fresh and savory.
2020-jerome-chezeaux-chaumes-vosne-romanee-premier-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"spring, summer","beef, lamb",main course,"limestone, clay",2020,"dark fruit, spice, smooth tannins",Grilled Ribeye Steak,Rich and full-bodied reds complement bold meats.,"Dark fruit, spice, and smooth tannins harmonize with the savory steak.",High acidity cuts through any fattiness.,Traditional pairings in red wine country.,Moderate sweetness balances the bold flavors.,Roasted Vegetable Tart,Full-bodied reds complement earthy flavors.,"Dark fruit, spice, and smooth tannins match the richness of the tart.",Moderate acidity cuts through any richness.,Traditional pairings in red wine country.,Not applicable; leans savory and creamy.,Braised Boeuf Bourguignon,Full-bodied reds complement hearty meat sauces.,"Dark fruit, spice, and smooth tannins match the richness of the sauce.",High acidity cuts through any fattiness or sweetness.,Traditional pairings in red wine country.,Moderate sweetness balances the bold flavors.
2018-jerome-chezeaux-les-suchots-vosne-romanee-premier-cru,,,,,,,,750 ml,,Red,Aged in oak barrels,Best enjoyed in spring and summer,,Main course,,2018,,Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"The bold tannins and rich flavors of the wine complement the savory flavors of the steak, while the acidity cuts through the fattiness of the dish.","The fruit notes in the wine enhance the beefy flavors, while the roasted garlic in the mashed potatoes complements the earthy undertones in the wine.",,,,Roasted Vegetable Tart with Goat Cheese and Honey,"The sweet and fruity flavors of the wine match the richness of the goat cheese, while the acidity cuts through the sweetness of the honey.","The fruit notes in the wine complement the earthy undertones in the roasted vegetables, while the creaminess of the goat cheese enhances the smooth texture of the wine.",,,,Pan-Seared Duck Breast with Wild Mushroom and Truffle Risotto,"The rich and savory flavors of the wine complement the bold flavors of the duck, while the acidity cuts through the richness of the truffle risotto.","The fruit notes in the wine enhance the gaminess of the duck, while the earthy undertones in the wild mushrooms complement the undertones in the wine.",,,
2019-jerome-chezeaux-les-suchots-vosne-romanee-premier-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"autumn, winter","beef, lamb",main course,limestone and clay,2019,"dark fruit, spices, leather, tobacco",Grilled Steak with Chimichurri Sauce,"Rich, full-bodied reds complement the bold flavors of grilled steak.",The wine's dark fruit and spices enhance the savory flavors of the sauce.,Moderate acidity balances the richness of the steak.,Argentinean Malbec is a classic pairing for grilled meats.,The wine's moderate sweetness and spice balance the bold flavors of the steak.,Roasted Chicken with Herbs and Lemon,Light-bodied reds complement the herby flavors of roasted chicken.,The wine's red fruit and floral notes enhance the aromatics of the herbs.,Moderate acidity balances the richness of the chicken.,"Southern French wines, such as Grenache or Syrah, pair well with roasted poultry.",The wine's moderate sweetness and spice balance the flavors of the chicken.,Braised Beef Short Ribs with Red Wine Glaze,"Rich, full-bodied red wines complement the bold flavors of braised short ribs.",The wine's dark fruit and spices enhance the savory flavors of the glaze.,Moderate acidity balances the richness of the short ribs.,"Italian red wines, such as Barolo or Tuscan blends, pair well with hearty beef dishes.",The wine's moderate sweetness and spice balance the bold flavors of the short ribs.
2020-jerome-chezeaux-les-suchots-vosne-romanee-premier-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for 18-24 months,"spring, summer","beef, lamb, or game",main course,limestone and clay,2020,"dark fruit, spice, and leather notes with a smooth, balanced finish",Grilled Steak with Rosemary and Garlic:,"The wine's rich, full-bodied flavors complement the bold flavors of grilled steak.",The wine's dark fruit and spice notes pair well with the herby flavors of rosemary and garlic.,Moderate acidity balances the richness of the steak.,Traditional pairing in French cuisine.,Not applicable; leans savory and bold.,Roasted Veal Shank with Mushrooms and Olives:,"The wine's medium acidity and tannins complement the rich, savory flavors of roasted veal.",The wine's dark fruit and spice notes pair well with the earthy flavors of mushrooms and olives.,Moderate acidity balances the richness of the veal.,Southern French cuisine pairs well with this wine.,Minimal sweetness keeps it fresh and savory.,Braised Short Ribs with Red Wine and Onions:,"The wine's rich, full-bodied flavors complement the bold flavors of braised short ribs.",The wine's dark fruit and spice notes pair well with the sweetness of the onions.,Moderate acidity balances the richness of the short ribs.,Traditional pairing in French cuisine.,Not applicable; leans savory and bold.
2021-jerome-chezeaux-les-suchots-vosne-romanee-premier-cru,,,,,,,,750 ml,,Red,Aged in oak barrels for 12 months,Spring and summer,,Main course,,2021,,Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"Rich, full-bodied red wines match bold meats.",The wine's dark fruit and spice notes complement the steak's charred flavors.,Moderate acidity cuts through the richness of the dish.,Traditional pairings for full-bodied red wines like this one include beef or lamb dishes.,,Braised Beef Short Ribs with Carrots and Bell Peppers,"Rich, full-bodied red wines complement hearty meat dishes.",The wine's dark fruit and spice notes enhance the rich flavors of the short ribs.,Moderate acidity balances the fattiness of the dish.,"Classic pairings for red wines like this one include hearty meat dishes, such as beef or lamb.",,Roasted Chicken with Rosemary and Lemon,"Crisp white wines complement herby, citrusy flavors in poultry dishes.","The wine's crisp acidity enhances the bright, citrusy flavors of the lemon and herbs.",High acidity cuts through any richness or oiliness in the dish.,"Southern French wines like this one are a good match for poultry dishes with herby, citrusy flavors.",
2019-domaine-jean-michel-gaunoux-clos-des-chenes-volnay-premier-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"spring, summer","beef, lamb",main course,limestone and clay,2019,"dark fruit, spice, and mineral flavors with a rich, full-bodied texture and good acidity to balance the tannins.",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"Full-bodied reds complement rich, savory dishes like steak.","The wine's dark fruit and spice flavors match the beef's bold flavors, while its acidity cuts through the richness of the mashed potatoes.",,,,Braised Lamb Shanks with Root Vegetables,Red wines with moderate tannins and acidity pair well with lamb's rich flavors.,"The wine's fruit and spice flavors complement the lamb's earthy, gamey flavors, while its acidity balances the richness of the root vegetables.",,,,Roasted Chicken with Herbs and Lemon,"Crisp, light-bodied reds complement chicken's delicate flavors without overpowering them.","The wine's herbal and citrus notes match the chicken's subtle flavors, while its acidity cuts through any richness or heaviness in the dish.",,,
2018-joliet-pere-fils-manoir-de-la-perriere-clos-de-la-perriere-fixin-premier-cru,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"fall, winter",beef or lamb,main course,limestone and clay,2018,"dark fruit, spice, and earthy flavors with a smooth, oaky finish.",Grilled Lamb Chops with Rosemary and Garlic,"The rich, savory flavors of the wine complement the bold, herby flavors of the lamb.",The wine's dark fruit and spice notes pair nicely with the lamb's grilled flavor.,cuts through any richness.,Mediterranean cuisine often features red wines like this one.,,Braised Beef Short Ribs with Red Wine Glaze,"The wine's dark fruit and spice notes complement the rich, savory flavors of the beef.","The wine's acidity cuts through any richness or sweetness in the dish, while its tannins provide structure to the bold flavors.",cuts through any bold flavors.,Classical pairings like this one are popular in many European cuisines.,,Roasted Vegetable Tart with Caramelized Onions and Feta,of cuisines.,s enhance the sweetness of the onions without overpowering them.,Moderate acidity balances the richness of the tart.,,
2020-domaine-laurent-roumier-chambolle-musigny-cote-de-nuits,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"spring, summer","beef, lamb",main course,"limestone, clay",2020,"dark fruit, spice, leather",Grilled Steak with Herbs,"Full-bodied reds complement bold, rich meats.",Herbal and earthy notes in the wine match the savory flavors of grilled steak.,Moderate acidity balances the fattiness of the meat.,Classic pairings from red wine-drinking cultures.,Not applicable; leans savory and bold.,Roasted Veal Shank,"Structured reds complement slow-cooked, rich meats.",Dark fruit and spice in the wine match the rich flavors of roasted veal shank.,Moderate acidity balances the fattiness of the meat.,Traditional pairings from red wine-drinking cultures.,Not applicable; leans savory and bold.,Braised Rabbit with Mushrooms,Light-bodied reds complement delicate game meats.,Red fruit and floral notes in the wine match the earthy flavors of braised rabbit.,"Low acidity; the wine should complement, rather than cut through, the richness of the dish.",Mediterranean pairings with lighter reds or whites.,Minimal sweetness and no spice needed to balance the dish.
2020-domaine-laurent-roumier-chambolle-musigny-premier-cru-cote-de-nuits,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"spring, summer","beef, lamb",main course,limestone and clay,2020,"dark fruit, spice, leather",Grilled Ribeye Steak with Roasted Garlic Mash,"Rich, full-bodied reds complement bold beef flavors.",Dark fruit and spice notes match the savory umami of a well-marbled steak.,Moderate acidity cuts through the richness without overpowering the dish.,"Traditional pairings in red wine-loving cultures, such as France or Italy.",Moderate sweetness balances the spicy seasonings in the steak.,Braised Lamb Shanks with Rosemary and Red Wine,"Rich, full-bodied reds complement lamb's gamy flavors.","Dark fruit and spice notes match the herbal, savory flavors of rosemary.",Moderate acidity cuts through the richness without overpowering the dish.,"Traditional pairings in red wine-loving cultures, such as France or Italy.",Moderate sweetness balances the bold flavors of lamb and rosemary.,Pan-Seared Duck Breast with Cherry Compote and Wild Rice Pilaf,"Sweet, fruity reds complement the duck's rich, savory flavors.",Bright fruit notes match the sweetness of cherry compote.,Low acidity balances the richness without overpowering the dish.,"Traditional pairings in red wine-loving cultures, such as France or Italy.",Minimal sweetness keeps it fresh and savory; spices may complement the duck's herbal flavors.
2020-domaine-laurent-roumier-clos-de-vougeot-grand-cru-cote-de-nuits,,,,,,,,750 ml,mL,red,aged in oak barrels for 12 months,"spring, summer",beef or lamb,main course,limestone and clay,2020,"dark fruit, spice, smooth tannins",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,Full-bodied reds complement rich meats.,"Earthy, spicy flavors in the wine balance the bold meat.",Moderate acidity cuts through fatty texture.,Traditional pairing for red Burgundies with hearty fare.,Not applicable; leans savory and bold.,Braised Lamb Shanks with Carrots and Onions,"Rich, fruity wines complement slow-cooked meats.",Red fruit flavors in the wine complement the lamb's earthy flavors.,Moderate acidity balances rich sauce.,Southern French wines pair well with hearty lamb dishes.,Minimal sweetness keeps it savory and bold.,Roasted Chicken with Lemon and Herbs,"Crisp white wines complement herby, citrusy flavors in chicken.",Lemon and floral notes in the wine enhance roasted chicken flavors.,High acidity cuts through rich sauce.,"French whites pair well with chicken dishes, especially when herby or spicy.",
